position,company,reviews,clean_position,city,state,python,statistics,mathematics,java,sql,excel,modeling,c++,r,visualization,ml,ai,has_phd,has_bachelor,has_master
Corporate Investment Quantitative Finance Analyst,Bank of America,21954.0,data analyst,Atlanta,GA,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False
Malware Analyst,ICF,392.0,data analyst,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Principal Research Scientist I: Informational Library Architect Extraordinaire,The Hexagon Lavish,0.0,data scientist,Atlanta,GA,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Market Research Analyst,SKIM,0.0,data analyst,Atlanta,GA,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True
"Manager, Statistical Modeling & Analytics",Piedmont Healthcare,325.0,other role,Atlanta,GA,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
"Senior Scientist, Advertising","Pandora Media, Inc.",33.0,data scientist,Atlanta,GA,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True
"Junior Specialist - Periscope Advanced Insights Growth Mapping, New Ventures",McKinsey & Company,385.0,other role,Atlanta,GA,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False
Full Stack Developer,GreenSky,26.0,other role,Atlanta,GA,True,True,False,True,True,False,False,True,True,False,False,False,False,True,True
"Senior Associate, Data Scientist/Statistics -- Financial Services",KPMG,4494.0,data scientist,Atlanta,GA,False,True,True,False,False,False,True,False,False,True,True,False,True,False,True
Assistant Scientist - Metabolics Division Lead,Emory University,550.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
"Senior Data Engineer, Next Big Sound","Pandora Media, Inc.",33.0,data engineer,Atlanta,GA,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Market Research Analyst,ResMed,78.0,data analyst,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
Biomedical Engineering: Faculty Position - Open Rank (Asst or Assoc Professor),Emory University,550.0,other role,Atlanta,GA,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
Solutions Consultant,Oversight Systems,6.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Senior Scientist, Immunology","GeoVax, Inc.",0.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Director, Data Science (PS6695)","Anthem, Inc.",3182.0,data scientist,Atlanta,GA,True,True,True,False,False,False,True,False,False,True,True,False,True,False,False
A Vigorously-Charged Scientific Programmer,The Hexagon Lavish,0.0,other role,Atlanta,GA,False,True,True,False,False,False,True,True,False,True,False,False,False,True,True
Software Engineer,FraudScope,0.0,software engineer,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Sr. Data Scientist – Market Research,Analytic Recruiting,2.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,True,False,True,False,False,True,False
Director of Software,Bionic Sciences Inc.,0.0,other role,Atlanta,GA,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Certifying Scientist / Quantitation Scientist,Lighthouse Lab Services,0.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Senior Data Scientist,Smith Hanley Associates,18.0,data scientist,Atlanta,GA,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
Sr Manager - Data & Analytics,General Electric,292.0,other role,Atlanta,GA,True,True,True,True,True,False,True,False,False,True,False,False,False,True,False
Big Data Engineer (mid to senior level),GreenSky,26.0,data engineer,Atlanta,GA,True,True,False,True,True,False,False,True,False,False,False,False,False,True,False
Data Scientist,"Xpect SVC, LLC",0.0,data scientist,Atlanta,GA,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
